,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
2396,265,751,-53.56259833051048,-50.87644794039778,-61.408185710471216,-56.678241813380595,-49.68145358951577,-58.53701922096754,38.61
2397,248,689,-51.65348952349959,-57.876508882480586,-58.51285566332806,-50.69726022513762,-58.759930294531145,-63.27702123249654,35.442
2401,166,447,-46.223978765696316,-53.25733286111168,-74.69349762948981,-55.146778472913624,-57.467746218081864,-55.321326216034365,23.014000000000003
2403,149,321,-41.468901061055774,-51.41061313401042,-63.59510290113286,-57.42627417006838,-64.74030591319658,-64.14140064397374,16.646
2404,133,259,-37.983815188264245,-53.46383627215545,-54.58921916146882,-57.527452234349,-64.32395047376582,-58.492022613906904,13.482
2406,151,248,-38.39644464187452,-52.35203052719686,-59.29639081656581,-69.20783495662069,-57.168116242617046,-56.43971037353916,13.004
2408,246,334,-41.42628090271578,-49.956136785901265,-61.291204343826124,-54.11192839435878,-53.135092519737356,-55.38615985819723,17.683999999999997
2411,398,452,-48.98277391182582,-48.65443360355724,-51.08770817607621,-52.97734879008567,-64.33716281329761,-60.21786579731756,24.192
2413,517,495,-48.90081188687637,-46.886303418047945,-53.429905488333766,-57.41800325766877,-52.25594410673274,-52.04987665293211,26.818
2414,580,503,-48.96745934305912,-51.938708961240835,-51.498045859864305,-52.357073111182274,-56.792517480754725,-51.586854103424486,27.47
2415,644,510,-52.72854437225152,-57.11890192254806,-57.14141521131146,-55.8635708904564,-61.92310533880922,-55.889825879185935,28.076
2417,772,526,-58.67201214138147,-50.18566754437204,-59.73213646857249,-58.09761463430143,-53.595385577160656,-54.67274343320759,29.388
2418,836,531,-49.20294753509645,-48.29018082161283,-69.5846120536035,-62.89368016259948,-54.44468993978838,-53.740364850319644,29.894000000000002
2419,899,538,-54.37655134310703,-49.0968125180898,-55.52208496666541,-52.51820081016984,-58.27753927926571,-55.730334680806536,30.496
2421,1027,545,-62.514605351593346,-50.90428779026358,-48.77100946485143,-53.57624380106574,-55.258051043975236,-61.38270661704367,31.358
2422,1091,540,-54.52797502152969,-50.55797013235321,-57.263460040106864,-56.22910487004948,-57.87644036689181,-53.25817435394776,31.364
2423,1155,533,-62.69584065793083,-48.28248097000745,-51.76521326023827,-57.10870914112847,-52.49621354781351,-57.991622467093634,31.27
2425,1282,519,-54.40096479582755,-52.772111324608574,-57.500475733648884,-55.10157209193218,-51.58071792700407,-58.01841967613258,31.078
2426,1340,492,-57.550405889808445,-56.33548689663159,-49.64257002998272,-57.96652859337168,-57.483644228637345,-55.80508112536853,29.96
2427,1400,469,-51.69258183335991,-53.497375115766374,-50.997060615109135,-56.8024043890705,-67.43437022772865,-52.91429110034511,29.049999999999997
2430,1531,334,-52.96352385551883,-47.03455210283092,-44.64750224138926,-57.87150900937234,-54.90601230979577,-53.22926647872566,22.823999999999998
2431,1567,280,-66.36150366680853,-68.73923885630147,-50.47304165036047,-59.65686875555372,-54.61634094806988,-52.56886702042456,20.268
2432,1612,235,-55.35246917355295,-48.23015585145854,-51.31487116148516,-57.781262092714194,-51.4334908544098,-62.271520895092195,18.198
2437,1530,237,-55.08290785250586,-46.640817791860705,-44.08490050951678,-54.12246901006715,-52.30604182747723,-62.146384680681365,17.97
2439,1411,284,-55.27209471038571,-55.007552188784345,-56.84109088778453,-58.004841645936615,-55.07397572447435,-56.83174865957603,19.844
2440,1347,290,-52.50791058515376,-51.41831051390501,-45.90739809437285,-53.876162590796206,-56.86226251731988,-62.517334877333596,19.887999999999998
2441,1283,293,-58.41524750801434,-44.51865282134476,-49.559099565830905,-54.61523083496486,-57.19438195182221,-55.66767157893349,19.782
2443,1154,283,-65.2609064510815,-45.03780761471289,-47.58167077508351,-57.645252333664665,-65.16092164731651,-51.68034566439048,18.766
2444,1090,280,-54.14834415567864,-41.426369171021165,-53.25882906359746,-52.31121579847314,-62.630216286297355,-58.85081750529899,18.36
2445,1026,278,-53.98946868267068,-43.086346450834284,-53.373141721919595,-54.84958023914439,-60.0153774105856,-55.073128953993574,18.004
2447,902,247,-49.58637236867336,-40.45757928100139,-58.284174204487286,-55.64512196914424,-59.456338738625796,-57.7841417393526,15.958
2450,733,158,-55.874581295138704,-46.347583034660296,-64.05459899466995,-59.61223189971467,-57.06374538010942,-53.619796941338436,10.832
2460,759,675,-50.782390845617364,-52.90609997766297,-56.65888630577535,-49.83474577490222,-51.43840962749199,-54.47389430981859,36.786
2461,786,733,-51.74675262399403,-50.457504956647696,-57.061695516850286,-65.30143176410147,-49.17126832289096,-61.05798292654249,39.794
2463,832,853,-63.2506554669221,-50.00239537494218,-58.810158925995076,-49.126855842517124,-49.41950162988416,-53.378137025957784,45.978
2464,846,915,-51.44546973795579,-56.385980594239314,-55.007784480875124,-57.11493368943772,-50.33863650311184,-52.74025288039398,49.134
2466,816,1039,-55.238825251553806,-59.60099526317659,-55.20438016235704,-49.86456525483681,-47.140150158590004,-57.28350329426024,55.214000000000006
2467,800,1101,-58.18611553883692,-63.88532652180949,-52.94570698295594,-58.10704327943506,-47.63546804247886,-52.058244027627566,58.25
2468,794,1165,-52.84867319665597,-64.99184937873964,-57.71558035391368,-56.793141186979206,-42.91542265219911,-53.59779710699388,61.426
2470,765,1291,-57.00872469958594,-59.14323720766667,-60.85951342846967,-51.74183511185128,-40.84365331975674,-60.48987336505262,67.61
2471,741,1350,-56.67402385475409,-52.3746766453975,-52.77407994926651,-49.556840264710296,-42.126064124569865,-67.54583397030704,70.464
2472,796,1316,-56.482256081992254,-60.01319604328765,-54.64507766012342,-67.8327858631797,-41.18400520437451,-58.04086066118707,68.984
2473,851,1283,-53.22149908876035,-56.45901830641051,-57.17134079554459,-50.20473075492156,-44.40647275877771,-64.9607129274422,67.554
2474,909,1257,-53.03835716868814,-57.69396885836905,-56.197586582740435,-48.755678243784615,-40.61011373466495,-56.042568044273615,66.486
2477,1058,1134,-56.76496783643902,-59.728204479132984,-55.50251947234394,-52.38305656103701,-46.442626961649644,-51.04427460314996,60.932
2478,1106,1092,-56.225705214331036,-58.28626598675512,-55.12573801524716,-61.8395325347401,-42.01852833855114,-51.323246332213316,59.024
2479,1156,1052,-52.171428970902426,-59.01092779579721,-55.71693997109267,-53.72014443128424,-50.900940151051785,-52.99099656763047,57.224000000000004
2481,1244,959,-59.57339547527916,-54.527075206331936,-52.52562333963081,-60.97689139534572,-45.870391209777424,-57.33120968916563,52.926
2482,1288,912,-53.252327055272424,-53.575473887431215,-55.29317390869744,-76.66077738468182,-51.09155836242681,-54.673617229450144,50.752
2483,1321,857,-59.536523171420946,-52.04293545909779,-53.214375662487356,-54.08809844227825,-51.33081475218208,-54.0816925210723,48.134
2485,1374,740,-54.706603207890055,-51.26445466194427,-55.41196987483181,-54.33895986091942,-50.36530486638205,-60.19848478366826,42.496
2486,1401,682,-53.30618349220613,-50.59400143875011,-50.293189485917935,-52.62276192943801,-50.19049169141343,-52.42930649881898,39.704
2489,1542,554,-54.58867921162348,-49.791263135052816,-45.969143311997925,-56.40034992932351,-60.79581979425329,-53.494136113842174,33.868
2490,1586,507,-57.504780038548176,-48.32093702267378,-47.421067171712814,-59.90252851013669,-55.76596100646739,-58.112404528444145,31.694000000000003
2491,1627,458,-52.13118104972296,-49.60048066152355,-44.57276913558876,-70.0680290898341,-53.948111957397835,-54.32692889767238,29.407999999999998
2494,1791,362,-56.77329153392557,-49.45500810784792,-44.09931017316326,-63.237494499977984,-67.03636779108037,-69.15291531300694,25.264000000000003
2495,1850,337,-72.12566127142614,-56.16111229292592,-45.71965728141055,-67.88527411432672,-56.680247679970286,-63.06752021312546,24.25
2497,1767,435,-65.32354358201408,-55.14514259158055,-50.88501854191671,-57.90668881025791,-56.50346496431327,-54.81032706010289,28.817999999999998
2502,1546,666,-54.7762199494815,-53.29379381615405,-59.13023255864005,-58.232745977730865,-53.76349543358267,-49.21848252026884,39.483999999999995
2503,1487,691,-64.92925868093035,-53.79741232474261,-48.72213169872717,-57.75997260802172,-58.17626005789003,-50.80786130964207,40.498
2505,1367,738,-58.02429549560635,-49.61237791715828,-55.027942042541156,-53.584445176514095,-50.85567421376034,-56.77748114176551,42.367999999999995
2506,1309,764,-54.4743858542889,-54.265515523025854,-50.61373157705252,-54.87889032801384,-53.05468224175981,-53.483893953928245,43.436
2510,1134,949,-53.630089639567935,-58.77007767034398,-52.47775164551208,-59.31098834552418,-47.007876342899415,-50.823233552308324,51.986000000000004
2512,1069,1059,-59.758961476138296,-54.42167794825535,-61.446523484922906,-55.94378532465129,-48.79619355078074,-52.682530716049136,57.226
2513,1045,1118,-53.35054147235361,-66.35967085327275,-55.67380705441391,-56.8059112858985,-48.004549270897314,-48.62238794843136,60.08
2515,1012,1242,-52.383648685250456,-68.03043810591089,-54.267705442255476,-51.77109290814087,-41.685551653819395,-51.34866781060644,66.148
2516,993,1303,-56.182071211662404,-63.786630775082315,-54.31745482408728,-52.669414062448,-37.378246862575,-51.77930090421442,69.122
2524,916,909,-66.70325249384203,-55.06260055035091,-53.624963024278365,-56.578964932873426,-50.12185861937755,-56.69743427891095,49.114000000000004
2525,887,851,-55.534656287418656,-51.09039159733227,-59.23711017859624,-57.35669245285862,-49.80230106644727,-54.124816226099696,46.098
2527,826,738,-53.09667930780671,-48.294698248001325,-65.39609541776834,-52.01239703179043,-51.58539141392681,-57.88343919351219,40.204
2528,797,681,-58.2514889163535,-51.58490546190053,-53.10622863131372,-60.024990185600174,-50.285903112189686,-54.61081072858874,37.238
2532,637,480,-47.413410695499095,-47.84760945109853,-52.078909848950104,-58.88010102080589,-61.81576913188543,-60.45044598163604,26.548000000000002
2533,595,431,-52.78301130741396,-46.801652170336666,-56.646527233794274,-51.19022616779819,-63.76416906261325,-61.37272965664948,23.93
2535,492,355,-47.4833627895311,-53.699962437549786,-59.54847308090859,-60.27193190663708,-54.45560796267537,-60.1906221631851,19.718
2537,387,285,-45.49144594505597,-48.77806953378966,-59.68098068790523,-55.00121187917068,-52.46636181192908,-63.200982110591696,15.798
2540,288,121,-49.10241589812198,-49.36535944916636,-58.71143419607685,-54.706458460783615,-57.2770695435813,-60.07749644295254,7.202
2543,419,261,-57.931440430181304,-49.049376602408884,-55.641704387272384,-49.920868847418234,-51.65052364335159,-57.148045042430475,14.726
2545,518,343,-49.881787593058974,-51.43045927272502,-58.66626047886722,-73.18082007499251,-56.271213899969254,-63.288241849418654,19.221999999999998
2549,744,464,-49.176855861866606,-51.85150718496168,-59.13473475553324,-57.505176378261524,-53.30689217659061,-52.892843690181046,26.176
2550,802,492,-51.200251141270044,-47.209248878003535,-53.16436577323693,-54.72668751151751,-60.95934532878904,-57.20045566618953,27.808
2551,853,531,-52.491809920902604,-46.28399698696987,-62.12705335671005,-56.42801797216708,-55.36181586749886,-57.30743058076882,29.962
2554,997,659,-56.18436421998101,-53.82490514116674,-56.728504689693835,-54.904471325120454,-55.505793241867714,-56.32130783109219,36.938
2555,1044,703,-55.29625210035447,-53.46445781608701,-58.368173545398676,-52.312525951450255,-56.18891043721723,-63.246374632769275,39.326
2556,1092,745,-54.04657904764604,-55.55221671744157,-71.46278454628762,-52.54717613277863,-51.164506188381004,-62.36541724278999,41.618
2559,1258,839,-54.749561947058865,-49.9450430525637,-52.30122722169838,-55.70536642102836,-54.54254316938969,-51.10270275428016,46.982
2560,1314,870,-57.1551746733698,-54.588414316001916,-53.1604457758861,-57.4064833966133,-50.28901071013471,-49.321347619249295,48.756
2561,1377,886,-61.99327141961254,-52.50159959023355,-60.898934080406434,-64.12091287076262,-49.48106752866807,-52.78115003207969,49.808
2563,1503,865,-53.79381978333166,-54.69882841742813,-52.362467576507726,-55.907016517485324,-50.5873195614791,-49.21895911705142,49.262
2564,1564,845,-56.16378885557899,-55.62967671557682,-67.43735187177157,-57.16718456083372,-59.70168603651845,-54.007036262148844,48.506
2565,1627,830,-51.73693948025382,-56.84363363513211,-51.03964742064186,-57.06355821157033,-51.564117805747486,-51.34803876980578,48.008
2567,1732,758,-56.354913594822804,-50.6903207952267,-55.6619391923912,-57.1122828103191,-52.446845860287006,-54.042300209081716,44.827999999999996
2568,1781,715,-53.414823895592576,-56.546145035806816,-50.08622967940607,-63.55241368702944,-58.41432985757136,-51.27312876685808,42.874
2569,1825,669,-59.49355181168869,-54.95284156616005,-47.07355974008932,-68.82412546791244,-54.12254946207643,-52.29225976230049,40.75
2571,1857,548,-56.76059136406819,-54.81644509630747,-50.34858736532027,-55.19175724349455,-56.420215017264475,-52.25134570024749,34.827999999999996
2572,1832,489,-52.47617783505426,-57.445858063812906,-51.184090470437,-55.75759540499455,-55.51906206432076,-89.453705399546,31.778
2574,1808,364,-53.472092084832816,-49.56725075241075,-44.59500491302567,-64.4466222634506,-58.645652026697526,-58.435518380123675,25.432
2575,1812,300,-62.017399792147,-47.780862134048306,-39.99418651794697,-59.69903002367319,-55.209157038926584,-56.2637693079851,22.248
2576,1810,236,-57.36413091916696,-49.8182224695615,-38.07195049626608,-59.122920682628276,-52.16355948943531,-51.79198142124897,19.04
2578,1827,109,-67.4830654964366,-59.738419147561515,-34.8142096790352,-62.10199073012454,-61.98587229012968,-62.69644599184784,12.758
2579,1763,101,-79.25188271436576,-65.59219776525887,-37.21551278657947,-56.58004507426825,-66.32557910243138,-60.15010829781424,12.102
2581,1648,155,-54.971258758141545,-48.930314414560954,-47.19037760013603,-57.15337063652126,-52.88420335494756,-53.30204289940346,14.341999999999999
2583,1565,253,-55.670350631928905,-46.57996534602781,-48.05949953250831,-60.00002994578297,-50.7841463944616,-51.134913955846216,18.91
2584,1526,304,-54.191732984019936,-53.64185683046722,-47.99585939819348,-59.78476900887368,-54.32054488568781,-56.47288033905487,21.304
2585,1480,349,-56.598629752967724,-48.47669430877399,-49.86096498966164,-54.865069070121066,-55.08093297787284,-67.64769633687176,23.369999999999997
2587,1406,453,-53.899305874272,-49.148089413064994,-48.8828501747286,-55.66474938390226,-64.48501723040172,-51.90786049710194,28.273999999999997
2588,1379,512,-63.092729054676525,-52.06252744308997,-48.81528375763342,-53.48339219558457,-56.51059356276499,-55.52851855287592,31.116
2590,1343,635,-56.94200711089812,-51.9618248570128,-53.12980735920212,-66.41759936079411,-60.927157909022156,-52.422130223197826,37.122
2591,1342,699,-54.78053543076847,-53.65534294336304,-51.53414931894068,-58.99410651706877,-50.72201129336659,-65.01818888173639,40.318000000000005
2592,1339,763,-52.83616839762959,-49.84582227457719,-57.143566405460135,-57.809783900315225,-48.032831703850306,-51.06242625060134,43.506
2594,1330,891,-53.31458459856579,-53.7035095580398,-52.27529857925149,-66.53282964287436,-54.838344916472366,-47.86416596220014,49.87
2595,1332,955,-53.956434342048524,-52.29981356224862,-58.723813951753115,-54.04434804625148,-48.41617421516156,-52.58685872394749,53.078
2597,1300,1080,-53.54954028009314,-58.316171051767725,-60.37067177866959,-55.83377606622398,-49.450939917179284,-53.32919343654092,59.2
2598,1281,1141,-53.69646081318385,-51.93347964157464,-63.951042357320716,-51.56017051180572,-45.68582637828971,-60.408891125526665,62.174
2600,1239,1262,-55.956209083277486,-54.71099672081866,-57.063343299958184,-61.42633708893062,-47.296921199567436,-48.050984095922544,68.056
2601,1239,1326,-53.20044849100781,-54.65712184518467,-53.756196150079546,-57.26172568847602,-47.11840511779008,-68.61011664399395,71.256
2602,1233,1390,-56.2802076680265,-54.8648241718862,-58.718333855151144,-54.98307137434626,-41.239117721556894,-49.28122747626397,74.432
2606,1115,1163,-55.80346675056735,-55.83345487836346,-57.87186265372914,-73.94018681600977,-45.15454327663498,-49.44538260911122,62.61
2607,1084,1107,-56.746402670765114,-59.73214305428888,-55.95558288857922,-59.69671324271922,-43.855454052211954,-58.46684152047097,59.686
2608,1062,1047,-61.00331998487137,-56.47597589916528,-52.61374651203633,-63.48658818755402,-50.16812170034165,-54.46792450283886,56.598
2610,1025,924,-53.124383347864885,-57.852773911465235,-56.471873337947656,-53.80011056729876,-51.443437512093986,-55.320007861270504,50.300000000000004
2611,1018,860,-57.764071133171164,-54.8965512827983,-57.22178475484718,-59.98467138291488,-54.55234045774514,-56.96782827834685,47.072
2613,1002,732,-59.98085324865485,-56.889836409180106,-60.67448312066426,-53.1083817800758,-54.25307192335613,-53.33335562811236,40.608000000000004
2614,1003,668,-55.84875282824356,-54.85302305186386,-53.08437898770784,-56.89796959876878,-59.01602194935947,-54.814932838883024,37.412
2616,1026,542,-60.37355410354854,-48.56406705097116,-50.34212201327407,-56.71174026520997,-55.02243817218883,-62.86885542134469,31.204
2617,1032,478,-55.392802905715044,-52.696484791312045,-56.88490645858085,-57.798682782716185,-58.123332373643855,-55.44479100833529,28.028
2619,1030,350,-50.51009364141977,-44.34400896323538,-57.64393329014575,-53.26618565040744,-62.136770913561094,-58.12228006111126,21.62
2620,1037,286,-52.16050473341263,-42.74191231396699,-57.94003000196141,-55.805339207897205,-59.044598618987195,-55.5685655112643,18.448
2622,1064,161,-53.63783263433107,-33.65941614049509,-64.13976594673352,-58.57185270559435,-57.60510509368529,-53.15918959276167,12.306000000000001
2624,1020,280,-53.76396277300095,-43.65308184585803,-55.07959035848412,-55.4503659146384,-68.05003360105711,-55.78229782196584,18.08
2625,1001,342,-51.74427847258628,-45.862502572501214,-50.190482947068105,-54.83678668298127,-58.08304726198141,-56.64544135604193,21.104
2627,985,469,-53.89150730179786,-53.58190457355213,-57.56374006261146,-56.15639907395364,-63.3349381642649,-61.306198499900034,27.39
2633,983,850,-61.0123268583428,-58.747983389335744,-56.05358535472811,-58.74920976322006,-55.82689576569416,-59.078291380819614,46.432
2637,851,1060,-56.382692111617835,-60.38754075465884,-52.9559050958338,-59.1832258201321,-49.64491970571924,-55.76391035786721,56.403999999999996
2638,807,1107,-58.37489559087481,-59.79731303925389,-54.32814242732411,-53.802732569878266,-45.03988598975896,-52.0992524805525,58.578
2639,759,1149,-56.27796300275123,-54.79073887954485,-54.50028463020956,-48.84071440881287,-47.69110959632484,-53.0442664795809,60.486000000000004
2642,661,1306,-52.69051288827532,-58.67390636674252,-59.66249828370227,-54.484173653746915,-47.971403835470056,-53.778484714284346,67.944
2643,645,1369,-58.568981404616764,-52.62998654248882,-54.24029505018811,-50.68624680282384,-44.306674859943385,-55.16331323853163,71.03
2644,627,1307,-56.02387851441268,-60.09882326948015,-58.476756935239855,-47.78882927911827,-48.728651416830964,-55.86323903542749,67.85799999999999
2645,600,1248,-57.84473783685066,-55.969175820109015,-53.723117548365636,-51.34024543185759,-44.941470094755324,-65.77941398607203,64.8
2647,526,1144,-58.98042427287872,-60.74459107785009,-54.71566115495793,-48.07371391042646,-47.444905338651836,-59.76897574745715,59.304
2652,267,954,-51.73371741910698,-59.68091510779989,-64.41438675939837,-49.40665569524165,-51.915576540143505,-57.36668480768838,48.768
2654,165,876,-52.13162089642192,-56.01956322403595,-56.24499929564776,-49.12253983916913,-52.199432139644344,-53.15208030384751,44.459999999999994
2655,113,839,-50.91316664720465,-62.644647211565,-60.51829342208359,-56.38785788657771,-52.40759426485043,-52.24982578857845,42.402
2657,233,883,-50.39086598951934,-60.380523535023315,-54.364743334740034,-44.93198007391497,-65.83109948504826,-53.63572303589743,45.082
2658,294,902,-46.865572625534796,-54.0019407611576,-55.4597994453696,-53.5481154272511,-54.10263458690795,-52.820465278935686,46.276
2659,358,910,-47.505830906422226,-62.68563342646847,-56.76126237077136,-47.581194352921074,-56.043681660515254,-53.5015724531886,46.932
2660,418,887,-51.830715011236634,-50.334421859353014,-54.87141720755552,-54.87695264755935,-47.63653300741625,-56.126464458496066,46.022
2662,537,839,-52.708823137537486,-61.815823998833395,-53.05082048129531,-53.12031666156165,-56.50655240109626,-66.44206970617968,44.098000000000006
2667,847,763,-51.98635878725851,-51.561988214279864,-58.37197982517195,-56.6003365747219,-51.88546067396026,-63.737840892461946,41.538
2668,912,764,-58.81065422483176,-51.641600091796505,-55.029034511340804,-62.45852056348724,-57.33140400541858,-52.54738650052274,41.848000000000006
2670,1037,741,-56.40869146552842,-54.850849857147296,-52.409192122913666,-57.18208881076635,-52.16665493165358,-56.53846072912506,41.19799999999999
2671,1102,745,-53.04496560896354,-52.681237648976776,-61.90467163961438,-52.752835435171505,-52.164403365861304,-72.8455352153467,41.658
2672,1166,749,-67.10603921827,-51.39432098581456,-49.66238730779032,-76.66881221845983,-50.90602526987614,-50.771353749191725,42.114000000000004
2673,1230,756,-59.37784777826559,-50.95439656602462,-68.61287065108263,-55.1281895035693,-55.48024502045167,-55.507718982166224,42.72
2679,1607,832,-52.24124445969764,-59.285204533675675,-51.8096265451902,-54.71885881078393,-53.38010328417762,-58.613474879814405,48.028
2680,1669,850,-53.405150798954566,-55.43286043889602,-47.55084676129304,-57.991913369980274,-60.01814990063541,-53.036619976082065,49.176
2682,1789,895,-53.96709719072013,-63.752295904716746,-64.66601353441148,-53.72773065477806,-61.26617151191627,-55.66692590288555,51.906
2683,1847,921,-53.65912592080586,-53.850697859180514,-59.10967639334047,-58.45019495745417,-73.37663804568201,-52.47362451654082,53.437999999999995
2685,1843,1048,-56.00584689082022,-54.39047859865772,-55.468565930614425,-65.58997507739257,-51.42876660650288,-45.173561041771336,59.772
2686,1852,1112,-59.49166895611786,-51.409070488919674,-56.026462322478125,-54.93762211226648,-49.943672854114084,-56.338570769478615,63.008
2688,1898,1231,-64.55300780270792,-60.55828245973501,-57.2560605559865,-54.084945444780075,-51.87020077580482,-38.73471383368252,69.142
2689,1883,1168,-60.969262823033304,-54.12673870738605,-58.76692371640022,-64.29619290248718,-50.49504502815086,-46.45835802375699,65.932
2690,1861,1108,-57.072554041898876,-52.49825690007165,-60.11197555672349,-55.94931934646163,-48.865397105679726,-45.337133593010506,62.844
2691,1855,1044,-61.56681701874945,-53.54413125484099,-55.72453889093303,-62.722489008048015,-55.06432020098095,-54.826448106636754,59.620000000000005
2693,1846,916,-54.00846789644976,-56.258511010742644,-66.59317157546646,-63.04915168578346,-58.35628504287768,-51.33345056340579,53.184
2694,1840,852,-66.4356804416427,-56.23706695430589,-52.42741615853191,-53.21601127343708,-56.755716921472,-49.467365313604375,49.96
2696,1814,727,-53.90700931545011,-55.588386449383606,-48.831605927181876,-59.591142499822496,-58.20081128020711,-55.23709953487323,43.606
2697,1797,665,-59.28882651257912,-54.75313439985382,-48.994882472131884,-67.41713474696651,-54.65872751435863,-56.67688018130718,40.438
2699,1765,541,-58.45759252640885,-52.81957327177817,-43.58991915070292,-59.537591615160096,-54.04936509923321,-58.0188034680324,34.11
2700,1760,477,-52.96263121271146,-51.42745817007709,-44.06278719430608,-53.26032147538786,-63.6231313824228,-66.02778498849375,30.89
2702,1757,348,-54.13846517989741,-50.09786742827935,-48.47274221095659,-64.99988841862522,-51.627298793889445,-51.94495267313808,24.427999999999997
2703,1771,286,-54.25089173011478,-50.58091408967137,-42.97837600483426,-53.65458499534139,-54.114816863179314,-61.08331192475299,21.384
2705,1784,159,-52.46046440289449,-52.38687025297939,-36.395376436440934,-61.315688224007715,-54.39240242359389,-56.44938945573091,15.086
2707,1660,126,-55.88935356171081,-57.92888312566633,-50.12074624770441,-56.400055343055584,-55.091360763712636,-61.0999171390627,12.94
2708,1596,117,-57.495971840055674,-68.4973442310499,-43.195300375019414,-59.13345460624238,-57.23667981989357,-53.39588143202796,12.234
2709,1532,111,-59.34356996978372,-51.3010562499889,-45.9713521064544,-54.719011901166,-54.15269990641821,-52.48053560833368,11.678
2725,1363,1050,-58.00234036891867,-56.90013130438332,-62.832749545243885,-52.42191681753507,-47.142712838139154,-54.011287504957515,57.952
2726,1322,1099,-55.076356057100526,-52.87990838260407,-74.64183836947055,-58.53669551535813,-45.69821222384971,-54.356676740110174,60.238
2727,1286,1152,-55.28872993185112,-53.201452649508354,-67.89295413505806,-53.77989163543724,-47.09975809524981,-56.31068541312449,62.744
2731,1143,1362,-52.3503170045386,-64.8040693243681,-61.90570342667614,-62.289003824409136,-37.755144179763874,-54.02729732377079,72.672
2732,1123,1301,-54.99091613925202,-54.950384063899136,-53.07630048757895,-59.536002192661606,-39.51790688275167,-68.38729479838217,69.542
2733,1102,1240,-55.243041172090564,-55.544187121419604,-57.84476708397751,-63.70871582085766,-41.98578034014817,-54.54089201221602,66.408
2735,1077,1115,-59.862738453145184,-55.97585335394935,-54.390729500776416,-55.66194886149297,-45.73444624394244,-54.985142925912726,60.058
2736,1072,1051,-59.39341041880773,-61.56996538202405,-57.74291114488328,-56.270733054502095,-46.927687670052414,-53.01381024806972,56.837999999999994
2738,1052,924,-55.82217084041893,-59.81094257859317,-57.10124518192093,-55.05857990310946,-53.60474150088251,-58.18328833873733,50.408
2739,1037,862,-57.09007327013528,-56.648752425372024,-55.035085960766885,-60.247676046641715,-52.30893925216951,-55.194060644666166,47.248000000000005
2741,997,740,-57.6422082659429,-55.73300987515118,-59.41421044585982,-53.441879984376264,-52.78292640633517,-52.64162884626107,40.988
2742,987,676,-54.513910984409804,-51.45607818649275,-58.06412544313056,-57.73691246957692,-53.98404359704445,-59.482510568154225,37.748
2752,990,165,-58.672309882332065,-32.913726775930094,-59.60268830229538,-57.193818665061215,-59.60196641778098,-59.079547875466986,12.21
2754,1007,292,-56.234408686177765,-44.7161706309532,-59.942390701607536,-56.68278614819643,-59.161257161276694,-57.431489280646986,18.628
2755,1032,351,-51.547532574918904,-43.51120224394645,-57.155958511018206,-54.03693758116727,-66.85597490561567,-56.41018406238211,21.678
2757,1100,456,-54.34911838591169,-47.94110878827933,-55.891858870345715,-54.444277156841096,-61.85642225209803,-56.07557945844873,27.200000000000003
2758,1129,513,-58.87831828752777,-44.75261555392416,-52.678676118903915,-61.88985562056304,-55.8112404586026,-56.308144375565405,30.165999999999997
2767,1236,1075,-57.57697290412714,-62.073614438146436,-55.97328924090158,-51.264538606810824,-48.64345662571667,-50.161022791555155,58.694
2768,1253,1137,-52.344295730547884,-60.61327532259331,-56.74830055865385,-54.49710823702812,-52.713596178887954,-54.28998183608855,61.862
2770,1251,1264,-57.139408677073675,-56.0013161797686,-56.13642262172036,-59.382827070265165,-44.32775738202171,-47.328433356655594,68.20400000000001
2771,1235,1326,-55.306977058804975,-59.76154406886741,-54.32035715375331,-55.45925344047191,-44.11093077174425,-71.72824245390042,71.24
2773,1242,1329,-55.44850172461154,-57.69117933377787,-52.69953593550021,-57.51063931614419,-44.86360424539199,-59.55262757795211,71.418
2774,1265,1269,-54.73520884784996,-54.74795176813069,-50.734276333744575,-65.62837035614048,-45.91990390736995,-47.60731089208883,68.51
2776,1319,1153,-55.95918156557322,-56.41124377554082,-56.57792991955098,-56.456908708761276,-44.55332468288703,-57.410422874632474,62.926
2777,1328,1089,-56.2781251904347,-66.44026818660724,-65.33542224836265,-59.57214335106982,-46.75427990028246,-48.0513474819373,59.762
2779,1367,967,-54.272891019601545,-60.57423990074162,-60.58109776950158,-54.96027668996177,-53.78563224415838,-51.73889512243753,53.818
2780,1406,916,-61.28978092732223,-51.43967770394491,-54.312711058384636,-55.292870293080156,-54.71535434003094,-51.99140052423417,51.424
2782,1520,859,-55.18020170913603,-54.19017705848116,-48.90784780258908,-55.885090789773685,-51.41971918415271,-47.73882536017621,49.03
2783,1578,831,-54.735887185886256,-54.50722505885405,-61.388106096791674,-53.55184869953302,-53.94684444654584,-47.21687549829558,47.861999999999995
2786,1749,743,-57.87402905190787,-53.80095487363935,-48.74459023674991,-60.36595083175881,-51.68599200477758,-48.32252138356758,44.146
2787,1793,696,-61.01366219656407,-52.66397417721833,-56.71726578457633,-66.61533351611138,-54.82076573177318,-49.44263909569544,41.971999999999994
2788,1829,644,-52.44803460634468,-65.77516696660699,-49.42465873026717,-59.181802130396086,-53.2959986198319,-49.81103189102275,39.516000000000005
2790,1846,535,-57.10965632649475,-51.71398341172634,-48.43892798576782,-54.25830776428889,-61.338634525705075,-56.798630830687685,34.134
