,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
26,1533,281,-62.2343211172618,-48.57895789439169,-45.96925925125439,-58.21821668053707,-55.059080505089774,-54.93722571568823,20.182000000000002
27,1578,327,-55.0474771670209,-49.87892935435279,-51.25984620177327,-60.24563304472538,-60.98492525680625,-58.229271952791095,22.662000000000003
29,1629,443,-52.3408858262362,-52.873351496171914,-43.54813298635784,-64.51025406382998,-64.45621568920204,-52.68039767964014,28.665999999999997
31,1731,519,-60.73960388263173,-51.00203685727656,-46.16750466139607,-55.51124753651793,-57.84020096106622,-50.585633772134116,32.874
32,1784,555,-56.65388342102838,-50.17188353747953,-46.385714251225245,-55.545620186928375,-53.99397180626118,-67.83883179136164,34.886
34,1887,632,-53.598003297870996,-60.71884774697371,-50.372923957907354,-65.78597988920802,-54.980525702599444,-50.98703635018185,39.148
35,1831,663,-57.87035537556189,-56.10478027700851,-46.96819361997559,-77.1277855041074,-58.053498408476855,-52.3887273241046,40.474
36,1779,701,-59.59207766514119,-56.742375893522535,-47.624014470416746,-65.10664047046423,-53.209366676384775,-49.278457202196364,42.166
40,1566,845,-54.62353906976912,-53.835082347854154,-63.809329236004615,-55.03959004319729,-55.35923838599069,-54.499819215654924,48.514
41,1526,895,-53.88370717630749,-52.92272205324434,-62.731677294478175,-54.709674742836434,-56.4898961765147,-51.02454661474531,50.854
45,1334,1063,-59.92116218827056,-55.05503616288167,-61.040080192123725,-53.75266561958274,-48.574038854103314,-49.092993643531074,58.486
46,1278,1096,-59.65272859707667,-53.55112974767466,-55.08394448024953,-57.08704000898003,-53.22229186524966,-49.42333053002592,59.912
48,1167,1160,-59.872455905028986,-60.51166576927241,-55.07118129888777,-56.998107982661146,-46.33983972394194,-48.163483229882274,62.668
57,606,1160,-57.1972242520437,-59.61731246764431,-53.68951122139955,-52.34477140402966,-46.13011347596796,-70.37539837695137,60.424
58,544,1147,-58.31745130787389,-58.793027463029844,-56.39411517494682,-50.98305656357543,-48.6842878010021,-63.32014804761384,59.526
60,415,1141,-64.78525472212358,-59.75132049271781,-61.027308233714606,-47.55447086416818,-51.08020408426313,-53.84061672859054,58.709999999999994
61,351,1139,-60.491109064581906,-60.72554911720748,-53.18930744934196,-51.85248876216396,-52.145326913061695,-52.96144120172792,58.354
62,287,1134,-60.472472824119464,-53.06365259551447,-58.61728719073258,-43.37819038427995,-50.32991237849779,-51.56155432465583,57.848000000000006
64,166,1166,-52.587343454320255,-67.14115027118133,-64.522366440036,-43.737059711629385,-62.547710215542736,-67.35026542642738,58.964
66,135,1130,-58.24347182292647,-62.43243061138442,-61.193877194963605,-49.4878964418146,-53.13251578591587,-57.033180108869,57.04
69,231,964,-61.723835777330564,-54.60204704741615,-59.30358286873012,-44.72041444933073,-58.22881457773531,-59.04978916492067,49.124
70,256,905,-51.48501218338738,-54.561466573445045,-53.83033475413121,-47.2269508052971,-54.12329404247166,-52.41737527429777,46.274
71,281,846,-46.8279695246118,-60.780094360368366,-54.24319291682274,-48.51484585501744,-56.8842568721976,-60.61241005856219,43.424
73,329,727,-46.806404869465474,-56.58603339680695,-62.25981650801022,-54.52828691281767,-56.78450113510805,-62.76546038498405,37.666000000000004
74,339,663,-53.92104659393017,-54.503427026297445,-55.7735798650145,-49.08128740308453,-55.43741556676064,-53.09710476712844,34.506
76,362,537,-48.184681561153056,-51.11729782812564,-52.304981530517615,-51.02331944473653,-53.80813343130208,-55.37795101616667,28.298000000000002
77,361,473,-60.04966030990174,-49.89911288532025,-52.70822722619934,-53.13596289785196,-54.089959190075085,-68.48375083644603,25.093999999999998
79,350,345,-50.60794552494248,-48.63170127766125,-51.87169817302213,-59.94657990476047,-60.269500010513866,-54.432068348510356,18.65
80,350,281,-47.24840619433511,-50.97160729838112,-56.02460487143396,-55.19803536608431,-54.73668302602213,-63.99605053644646,15.450000000000001
82,352,152,-46.41274470024399,-48.861242247174275,-53.31941241849347,-58.163313782149245,-55.18475288559803,-58.11178810964375,9.008
85,503,270,-50.3190793948026,-48.85763743517344,-67.51038918421514,-51.36006249788964,-53.38447736321433,-53.774482859122244,15.512
86,553,311,-58.860142741856635,-56.48812845105311,-53.39713085370506,-58.33894036199269,-58.69278125538479,-55.28159124998547,17.762
87,609,343,-51.36759985051667,-44.78652846619137,-62.22538639568674,-55.63556229112292,-66.24351379499116,-56.58178037868136,19.586
90,780,431,-47.63256485251833,-49.70935158744345,-51.30395104019023,-54.82146450614898,-55.1333758008614,-54.955220341532,24.67
91,837,460,-49.34782013501001,-54.58605694936172,-54.35933268483713,-55.008931519525106,-59.65239125622685,-58.320565312919896,26.348
92,895,488,-50.19297357021274,-46.174952294256116,-73.83156822441399,-56.0258982058057,-63.99752785410347,-52.02321008875326,27.979999999999997
94,1009,548,-56.259484525679525,-50.496697469764385,-50.3728557871181,-54.11847182904863,-56.10537935675885,-58.410884756006844,31.436
98,1234,665,-59.27377993921446,-51.71469228454215,-58.199564085853446,-53.60681731414299,-47.708174007620485,-50.44766394018653,38.186
99,1289,699,-56.264919592019105,-51.79177445322765,-53.635756455904506,-61.7553197092421,-57.50033465973757,-52.21347677856634,40.106
100,1340,738,-55.898684191193205,-48.441130128834104,-50.400849966268375,-53.169967222425115,-50.436327301887054,-55.40047528633088,42.26
103,1506,831,-53.645226169768634,-53.40261486609934,-54.22309555580823,-57.44775715614721,-52.71530026808822,-50.975165115977035,47.574
104,1569,841,-59.2784058481131,-52.803696593694774,-61.48898648912136,-55.99805208576217,-56.585426605039956,-51.08529214375459,48.32599999999999
105,1633,849,-52.993221615809745,-55.33208539185728,-58.381253786057826,-53.089060505600926,-51.260810516355974,-51.107600315392745,48.982
107,1761,848,-54.30435958864446,-55.166567803217845,-51.054834174311196,-57.51734481856211,-52.43911433757,-47.43459364734285,49.443999999999996
109,1886,831,-66.80179693955863,-60.515148052579534,-51.32981060736082,-53.17231790475734,-54.694782160582136,-63.22762634558002,49.093999999999994
110,1823,843,-60.457529792083605,-52.97551869030873,-51.94782090764426,-55.461251670767844,-56.38940114949978,-49.981097233722636,49.442
111,1761,858,-53.06560335482213,-58.66281639351789,-51.5279705262265,-55.944014585540536,-52.034887315782086,-46.971169191751336,49.943999999999996
113,1632,861,-55.88657057210972,-63.92739721762034,-60.999138864502584,-55.72728750045948,-48.935759789890945,-53.624948897275935,49.577999999999996
114,1569,874,-53.78770284294886,-52.030185365958275,-56.766824956317805,-55.23636621945926,-53.199264841709805,-54.709977018580524,49.976
115,1506,881,-55.26177033829591,-57.23077760579743,-48.49955587700024,-53.79004905081253,-49.86409619165593,-52.6966321009283,50.074
117,1385,925,-53.31767876444509,-56.17378431165698,-53.84924597093645,-57.22884315227933,-49.52779712090624,-49.7409329812627,51.79
118,1321,934,-52.22718205652083,-56.07257867722527,-62.147305048884945,-59.76457396891824,-55.904124030225304,-57.360172211814096,51.984
119,1258,946,-59.0588898866958,-54.269341613104835,-52.08385980955999,-59.290039921416195,-48.42090992023381,-48.29555142678983,52.331999999999994
121,1133,926,-55.414709349993174,-52.977901061109726,-53.88250785542728,-52.051187173011435,-47.44879224011239,-52.72781429091117,50.831999999999994
122,1072,906,-57.01251289734184,-58.78748340229399,-63.651785132665864,-52.72078542210175,-49.79424404547526,-57.861693338239334,49.587999999999994
123,1012,884,-59.52677542141805,-55.335498948573935,-51.365001061293825,-73.43577024396245,-57.55493464756532,-59.55744233139509,48.248000000000005
127,790,758,-60.49054112000174,-51.24338109743819,-66.84617138884236,-53.50895324595028,-50.13430627596229,-57.492871173710384,41.06
128,738,720,-55.990564459707095,-56.558247202783384,-50.85879806842115,-53.27657996619729,-53.99028400709325,-64.59160301169777,38.952
130,647,630,-54.01690321311462,-57.071163064227825,-60.124145265417766,-53.198159745032115,-55.19778615201842,-61.38080994932206,34.088
132,535,567,-53.77444521815627,-49.06180035931138,-62.67524723127997,-53.22726705318929,-52.81640264912114,-63.88931165850737,30.490000000000002
135,363,486,-55.54230790376343,-50.49663110954537,-57.21718193540412,-59.21349182078907,-58.25302875684522,-61.630881947304985,25.752000000000002
136,300,474,-47.17298654561755,-55.00380398441508,-54.602290483198075,-58.38148525197086,-60.1853067208271,-60.045694836330284,24.9
137,236,465,-44.58554776476889,-48.26193952171894,-55.62431460435552,-58.464568423535695,-55.96669690685044,-56.74429273587873,24.194
139,109,478,-46.47404702564845,-52.60335011976334,-60.34551281906327,-63.89156097306709,-58.799642477584996,-58.4752860545989,24.336
140,162,442,-44.591099788477074,-47.99620860779215,-62.38460249602814,-52.93800924456197,-53.58873457375009,-57.596988591966834,22.748
144,406,368,-46.38654115349048,-48.219215970863225,-56.3355750944003,-54.170896026407675,-60.346597839260895,-57.59263437505205,20.023999999999997
146,523,317,-45.81171905772422,-52.92240140507892,-53.385044441135875,-62.39659135230734,-55.42251622844474,-60.673851137560874,17.942
147,584,297,-50.91409502608709,-50.636586337488026,-54.27995404276417,-55.50155417771067,-58.685875196273535,-55.86355963519233,17.186
148,641,268,-51.9788169287697,-45.130494641943386,-59.56096934367109,-54.37366790937418,-51.26022557873355,-57.04681847295937,15.964
151,749,108,-49.48521839710349,-48.70472380803265,-54.00376651744649,-55.3050214485294,-55.87778780433668,-53.083262257419,8.396
