,ap1,ap2,ap3,ap4,ap5,ap6,x,y
141,-39.964211477086664,-54.48491546849429,-54.63290712049687,-56.19936515335035,-57.01577079372114,-64.33069185459065,58,279
142,-47.74528388630293,-49.637042013767584,-55.227156320449765,-51.51552310568612,-59.85045866628825,-57.240102616499385,352,487
146,-51.03382912607346,-59.395990817874356,-58.42324077462742,-48.458374314542816,-47.49119840217041,-62.427520495481005,310,1389
147,-48.930287364189425,-50.81377546724997,-56.032377916436985,-47.01863045181773,-66.00048074323051,-60.43523582352299,307,699
148,-60.07336345281915,-55.59540381860786,-56.881367677072234,-59.514813955769355,-52.37842216602446,-48.0382400714683,1546,1232
149,-52.09247375332854,-54.32162260235222,-59.095482527101595,-50.940643247804324,-57.32094149667282,-56.105587348769845,654,339
153,-54.94638715806151,-55.40961067872157,-53.78180099480395,-48.8284883326415,-53.35558727537956,-58.03843977093619,162,1033
154,-77.2264239627507,-48.21676504054997,-59.76549458520954,-58.51010361229454,-55.63878202764827,-53.85474389637623,1289,82
157,-56.17661169841239,-49.688428590515194,-58.64588413729909,-54.933257489652085,-57.25718514901857,-53.97123802770005,1051,478
159,-52.54810973443998,-46.938037886688655,-51.60485551218201,-55.2521680209114,-55.008774868872976,-56.82048735892175,1392,124
162,-39.41010535798182,-52.49148049657529,-63.209694176817635,-60.27549089410755,-63.381550227538014,-54.22970493957546,10,363
163,-54.7777663925618,-59.023802444422195,-53.96036332997809,-50.83505912798414,-46.127466122287046,-52.08714637286203,1037,1163
164,-56.075613327807964,-58.886966304166165,-44.769752468213646,-61.189670472208405,-55.83473031374475,-58.478071657670824,1507,348
165,-26.149193892239282,-54.566690054267085,-59.870910705114284,-58.826047117506704,-56.37109047959581,-65.23473846280267,93,70
166,-48.634480086256325,-51.57007279290626,-52.13925252115955,-51.861833014381446,-62.263058227215566,-58.061191576973144,609,458
168,-60.41687560668559,-61.89708126499026,-51.83424253202146,-60.91459629468416,-32.852273262368456,-51.4525146102841,1069,1379
170,-48.60373630504342,-48.006426748691965,-54.01602394755994,-59.65466872982289,-53.49864653320023,-56.16422604510623,644,301
171,-62.94031739683277,-61.151179160585315,-55.09770686866158,-64.93590041598844,-42.01473966637582,-55.65196927579375,814,1259
172,-61.773015408908236,-50.878520412723645,-60.56897972934728,-57.407542231674604,-55.546017615323436,-53.70847678179187,1087,657
176,-49.66782537861597,-46.606675780567926,-57.55844119388318,-55.86600012121865,-65.61620524830603,-57.49220786453425,591,352
177,-56.33028781456332,-47.740896455616834,-47.86074654618699,-53.23263416920531,-60.923466700911945,-55.54058665298497,1536,477
179,-34.86621622063102,-54.639590671283706,-54.75497097328551,-52.734486303968296,-53.89839788561553,-61.147522284622895,146,41
180,-68.99645824513489,-57.90571787001631,-49.166948022329855,-52.18951714009701,-53.491753707073386,-48.85341246801178,1659,1033
181,-55.25068834690799,-44.95696182458193,-47.59234550749709,-53.51833743920193,-65.20319665162502,-56.5601142000947,1113,297
182,-65.92852135079673,-43.983596327782635,-48.73823733281718,-55.86783631432795,-54.34980394012851,-55.05909799453923,1323,248
186,-48.70275698541331,-46.42272333456585,-53.275828901996704,-53.084120419249004,-55.27596480867366,-53.3026436223717,594,315
189,-57.71010449580021,-49.167668921284225,-65.34561146646126,-52.29938534063586,-48.188552949068686,-50.56578550977652,1153,841
191,-57.85728448901209,-55.04581190524435,-52.820055298115946,-53.48092527749189,-60.73523583428083,-44.491093262527855,1576,1462
192,-43.660846636949806,-58.4667931963955,-54.563081057508725,-51.8141580405169,-59.45662007576395,-56.738330628266496,255,511
194,-53.93334742292737,-53.32399528585262,-57.76796510543396,-56.13241747096035,-50.466224382115016,-46.90543553052102,1892,1107
195,-52.657429424499625,-56.78580448779368,-51.16442797071415,-50.344799419017406,-45.90719767778669,-51.300438436490836,1357,1121
196,-57.29679159476004,-54.10306232306631,-41.53119107691563,-60.47525565299419,-55.50398623371134,-57.013476915627024,1945,305
197,-52.48452413808341,-50.91829689359169,-57.82373704716646,-55.382483776294876,-49.39407600247347,-53.675833867204474,656,744
201,-54.508317932553936,-40.26950176899916,-59.01589063217695,-52.1032586620788,-66.74635181997203,-53.590501028057,886,250
203,-56.003535403561564,-51.80941230122385,-69.42545079522453,-58.20913734738744,-53.98937413696068,-57.80710059770811,1348,1432
204,-53.19638282794407,-49.04741292668732,-63.07182834801962,-54.60362886946151,-59.23070751391454,-56.27733667892759,912,489
206,-47.34551828076836,-65.96048787325327,-72.79818901788924,-50.580918707526514,-58.139181073325766,-60.92639479675293,402,292
207,-53.28095240004056,-57.116969077399354,-66.68094548492162,-51.79978898078235,-51.434164207008294,-46.83769204780107,1521,1089
210,-53.12025720440863,-58.28418298784432,-57.71023724475073,-49.98937579962931,-51.56436617243885,-54.96198430485724,535,1069
211,-50.95318506377077,-50.39749584309863,-60.26865669010948,-48.44473397927181,-55.002286151103505,-61.072710026119495,27,729
212,-54.154476055866894,-46.390518354736145,-50.89740755224335,-58.93311582352044,-58.56417055331875,-51.33029206344888,1257,32
213,-58.021584394873045,-48.22234387559096,-31.007230943018268,-59.72030396388797,-61.92385875826004,-58.03635553824261,1847,125
214,-57.559388996300086,-55.0523595987331,-54.02111421909078,-59.01911726123351,-56.56988314732409,-60.29688241393846,1494,167
215,-64.60785167782467,-40.530684649726695,-52.09893956417687,-55.65493753007602,-60.882200887505704,-57.06203282032394,1234,75
218,-55.952374245211814,-59.292662979631984,-55.301104729558844,-36.3711999198247,-51.20971630976722,-65.75160604280147,20,1411
220,-69.20508748007425,-48.67441957523194,-59.890549889018644,-59.53050546795788,-49.451028312392644,-52.03041291609543,835,700
223,-59.30391374756506,-55.46984088263975,-58.8950593625706,-56.12793898386968,-53.04263815180668,-57.45230141932048,483,1131
226,-54.69660338030812,-55.63920430749662,-54.41730803255464,-59.074294843399485,-42.51853400624193,-48.113843770983536,1319,1404
229,-56.37628305055782,-60.23387470576591,-51.22556039639231,-58.06183084509798,-46.84809293492437,-50.91767916655266,1550,1291
230,-44.97202571310723,-48.75689666386701,-64.02739911967889,-53.63878830517628,-68.16244976004134,-55.954231507234866,574,360
231,-58.89586622970518,-46.63066460545142,-45.57108038883285,-52.903900138099274,-53.37036274119925,-56.64048013686059,1749,278
235,-57.5478731363253,-53.57733413864797,-56.267442204732355,-52.92675879056795,-52.57944823327888,-53.28323960969195,1062,903
238,-53.918992895581006,-54.862923684068534,-62.02864378806771,-67.11348436527331,-56.38420971244777,-52.11394396786033,1869,488
239,-62.96109231355085,-52.20107369930582,-47.07340426884029,-59.14739103689776,-55.09139885961923,-61.32444774546842,1885,469
241,-57.77282811934513,-55.39174742355237,-45.46545112638433,-64.73224197982617,-59.36650212948666,-52.025671470440365,1513,294
242,-55.18809875757184,-53.49131646713672,-57.56092851761156,-59.93538981563559,-59.84776472304982,-51.69624201705147,837,441
243,-68.1300833141829,-56.041970285132294,-62.869149050782184,-30.876285192130037,-48.28162836952926,-57.94732246999946,164,1424
245,-60.924077380961606,-60.23529384596601,-50.63035477640116,-52.293006956161065,-59.39086875764009,-56.62554235858498,1516,1367
246,-64.24132298182707,-57.26902828047895,-59.74996282524167,-42.817581655661584,-49.01928091165446,-60.82340165929611,270,1393
252,-58.56715430948134,-60.41881821337623,-59.39762117684141,-52.29014556953839,-61.09015461633811,-53.87044431052024,55,929
253,-60.38484827769203,-52.01687677998747,-46.18821715380903,-58.067934935639,-58.29852494187876,-69.16411893884211,1887,485
254,-53.1570782001554,-44.75874899262507,-47.019442989317454,-56.11654112080598,-57.575940075072126,-54.0326374214397,1406,45
255,-54.81621173097616,-51.54601884520807,-54.007983581811835,-64.28532518515549,-61.84147602390594,-59.10819970549084,494,536
256,-60.14692063792931,-52.9985823671156,-53.936256826456265,-73.37712209943727,-53.499356232501086,-45.80999485638351,1867,1043
257,-56.550161883271805,-57.126581472868956,-61.83443522047634,-52.81050718811603,-46.56121780657333,-47.82808661450018,1325,1065
