,ap1,ap2,ap3,ap4,ap5,ap6,x,y
63,223,1136,-59.51790942840232,-52.77933336728079,-68.4352212170957,-52.63657632972815,-49.08519516326316,-52.8034137184336
64,166,1166,-52.587343454320255,-67.14115027118133,-64.522366440036,-43.737059711629385,-62.547710215542736,-67.35026542642738
65,105,1187,-56.106894814020045,-56.54605494882019,-59.58217078942933,-41.546519290122674,-49.46332566389036,-57.83528251595892
66,135,1130,-58.24347182292647,-62.43243061138442,-61.193877194963605,-49.4878964418146,-53.13251578591587,-57.033180108869
67,175,1079,-58.45385595098889,-53.75148750883753,-62.82856453303198,-42.215117855046735,-52.43730679630992,-56.74560411421812
68,207,1024,-55.08587361518501,-56.192750469278835,-59.70882328874539,-43.67775407043726,-59.03529708394177,-53.86668867727416
69,231,964,-61.723835777330564,-54.60204704741615,-59.30358286873012,-44.72041444933073,-58.22881457773531,-59.04978916492067
70,256,905,-51.48501218338738,-54.561466573445045,-53.83033475413121,-47.2269508052971,-54.12329404247166,-52.41737527429777
71,281,846,-46.8279695246118,-60.780094360368366,-54.24319291682274,-48.51484585501744,-56.8842568721976,-60.61241005856219
72,302,785,-47.352269249116304,-56.99741934269376,-65.7283232849769,-55.835038815556075,-55.85505155368185,-56.351843790776655
73,329,727,-46.806404869465474,-56.58603339680695,-62.25981650801022,-54.52828691281767,-56.78450113510805,-62.76546038498405
74,339,663,-53.92104659393017,-54.503427026297445,-55.7735798650145,-49.08128740308453,-55.43741556676064,-53.09710476712844
75,354,601,-53.660911751796114,-57.906225800019165,-54.67298715966088,-47.2417696999343,-69.16792998905214,-59.11526849411533
76,362,537,-48.184681561153056,-51.11729782812564,-52.304981530517615,-51.02331944473653,-53.80813343130208,-55.37795101616667
77,361,473,-60.04966030990174,-49.89911288532025,-52.70822722619934,-53.13596289785196,-54.089959190075085,-68.48375083644603
78,354,409,-47.3626806810841,-48.406737935786495,-62.11883232618983,-51.9464283061204,-54.76083915354691,-57.15583087267058
79,350,345,-50.60794552494248,-48.63170127766125,-51.87169817302213,-59.94657990476047,-60.269500010513866,-54.432068348510356
80,350,281,-47.24840619433511,-50.97160729838112,-56.02460487143396,-55.19803536608431,-54.73668302602213,-63.99605053644646
81,353,216,-46.14462060197306,-58.67066796135938,-58.137465767981624,-53.757538879284255,-58.59922050030499,-61.62467867693883
82,352,152,-46.41274470024399,-48.861242247174275,-53.31941241849347,-58.163313782149245,-55.18475288559803,-58.11178810964375
83,400,194,-41.187482130650935,-51.30442560729947,-69.66022193558436,-60.405995545036305,-53.34638984531974,-59.50595591452637
84,448,238,-50.7787313548198,-52.00908030764314,-53.036399701508444,-55.43683209402449,-51.462509369193725,-56.36080995843737
85,503,270,-50.3190793948026,-48.85763743517344,-67.51038918421514,-51.36006249788964,-53.38447736321433,-53.774482859122244
86,553,311,-58.860142741856635,-56.48812845105311,-53.39713085370506,-58.33894036199269,-58.69278125538479,-55.28159124998547
87,609,343,-51.36759985051667,-44.78652846619137,-62.22538639568674,-55.63556229112292,-66.24351379499116,-56.58178037868136
88,665,373,-50.42713105803075,-46.11070107122845,-52.366502875169914,-55.81183105718644,-58.50442863654199,-53.306069836092895
89,721,404,-49.32835257783541,-52.82425090352048,-55.889589997022505,-55.55845121060952,-53.50674584756639,-57.65433133512148
90,780,431,-47.63256485251833,-49.70935158744345,-51.30395104019023,-54.82146450614898,-55.1333758008614,-54.955220341532
